baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YOR004W	599.702928753117	4.80530149802039	0.423110462909314	5.42605447875973e-31	5.58122059806461e-29
gene-YLR413W	655.91594064111	5.31971052960077	0.469969113136445	6.1158112786453e-31	6.18224164253404e-29
gene-YGL035C	650.837438836196	5.25969211972202	0.466427674726794	1.38206725011993e-30	1.37340004872088e-28
gene-YNL110C	1237.25716158041	4.58318692272162	0.40657518256262	1.45118083312123e-30	1.41804553743163e-28
gene-YKR092C	2187.747655844	5.39203772150661	0.480173891307836	1.88227409955905e-30	1.80914312224831e-28
gene-YDR343C	1333.10414685529	-4.65087888591609	0.414514946708559	2.04242792988377e-30	1.93141208917879e-28
gene-YPL081W	1683.79482533225	4.69294614995176	0.417773318807324	2.11039552364971e-30	1.96400777066004e-28
gene-YIL053W	34462.2115070574	5.14288973322785	0.458869820205446	2.6455666182543e-30	2.4235870441914e-28
gene-YPR137W	907.570326072495	4.55010664439275	0.406548760343853	3.5241681653712e-30	3.17879968516482e-28
gene-YNR053C	1314.88026335716	4.47179548557845	0.39988088309828	3.85334944093663e-30	3.42305875336537e-28
gene-YGL120C	1322.69283801383	5.07271270828482	0.453832004427013	4.09207958003335e-30	3.58087501160232e-28
gene-YKR081C	1340.06999649677	4.47960839185778	0.401762872236441	5.80466834318748e-30	5.00481919060415e-28
gene-YHR052W	1667.55393370127	4.44430509755532	0.399024566896627	6.65776035572359e-30	5.6571665167547e-28
gene-YKL029C	5056.27860410583	5.46630030193877	0.491691806642398	7.31244670396192e-30	6.12469643218982e-28
gene-YMR081C	2820.19892225285	-4.7227357235637	0.425500183998431	7.64844840472226e-30	6.31589478829389e-28
gene-YNL113W	1031.15086679928	4.53798942753426	0.408333264638702	8.05056153360005e-30	6.55561698215237e-28
gene-YLR435W	394.380139835472	5.26839113170423	0.475353756304643	8.97241039377634e-30	7.20619755324804e-28
gene-YHR085W	377.956921767237	5.48357968734538	0.49698148429564	1.44334917838022e-29	1.14356165308693e-27
gene-YNL299W	234.821531817991	5.76299249092308	0.522097444810327	2.53323521197559e-29	1.98031440637505e-27
gene-YOR226C	580.690031986362	6.24085827592558	0.568401754669609	2.76286704041979e-29	2.13140650762911e-27
gene-YIL079C	352.40978163746	5.11482456590983	0.465716109085358	3.00542816719823e-29	2.28841887588094e-27
gene-YLR022C	658.597521747132	4.50672296477196	0.41222454738974	6.6169800869131e-29	4.97376336532968e-27
gene-YGR208W	416.230149518422	6.03066550757515	0.554779686116909	1.73264185724967e-28	1.28588344418415e-26
gene-YFL034C-A	1137.0833862938	5.30626205494374	0.490011107403749	2.00132138765914e-28	1.46671841198069e-26
gene-YHR208W	5095.73187046506	4.75161944965896	0.439364080102478	2.33239971453759e-28	1.68825426251036e-26
gene-YLL011W	915.750774271015	4.46631929867854	0.413381710867428	2.63245844714302e-28	1.88220778970726e-26
gene-YPL093W	3491.06165109002	4.52172006466937	0.419149804023531	2.81985833712051e-28	1.99190716030573e-26
gene-YPL030W	462.907564646216	4.96796882298975	0.461717357686741	3.40521059740649e-28	2.37675592054693e-26
gene-YER073W	875.15858351206	6.08151506192331	0.564882693881475	3.81902045354258e-28	2.63422551989649e-26
gene-YLL034C	583.646343858416	4.50189412305081	0.419007874572038	5.03898701173189e-28	3.4353000988121e-26
gene-YOR145C	2257.95806938901	4.124617758626	0.384269953619177	6.03574122901424e-28	4.06753457766787e-26
gene-YGR264C	1303.30498919068	4.34262652968509	0.405383906210589	7.2882488638382e-28	4.8557958055322e-26
gene-YKL023C-A	403.74414469908	4.5898117479173	0.430084514106427	1.09151599122519e-27	7.19051489500372e-26
gene-YCL054W	964.672400360059	4.3353564541402	0.408477401413406	2.02429313223732e-27	1.31871451492305e-25
gene-YOR108W	894.578748515425	5.17764206789658	0.487961414500755	2.10367256722809e-27	1.35536618259981e-25
gene-YAL012W	1373.84711122579	4.6730485916892	0.440865884948167	2.35575343070021e-27	1.50128069176036e-25
gene-YCR021C	60788.2983186024	-4.41624555992122	0.415821036704693	2.46636622441179e-27	1.5548715240566e-25
gene-YNR001C	5102.95145340213	-4.29070338648252	0.405177172878453	2.81870199249362e-27	1.75809040233937e-25
gene-YDR101C	1447.70266510604	4.52092254275652	0.428219064735684	3.30880444109354e-27	2.0420547829612e-25
gene-YHR022C	392.974216679699	6.08929340662406	0.579569751143482	3.77771269845995e-27	2.30715932823653e-25
gene-YAL025C	1354.43870600474	4.43107185007058	0.41996726325001	4.10819792934008e-27	2.48313035667226e-25
gene-YOR233W	298.135948398916	5.11108656777214	0.484153558544441	4.2112678984017e-27	2.51945547840094e-25
gene-YER056C	4201.66988732082	4.18454724972343	0.397951889722995	5.42731679026375e-27	3.21417761023398e-25
gene-YOR375C	6562.88730751841	4.58495290842026	0.436326634778164	6.02767774900525e-27	3.53402746424178e-25
gene-YGR187C	807.398729829335	4.46285714495921	0.425796986860463	8.67672063011895e-27	5.03679337172152e-25
gene-YOR078W	905.39456796246	4.16837398851889	0.398431389181085	1.10202139116379e-26	6.33446217293459e-25
