gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YMR140W,471.924939182596,-2.28824512828319,0.473923447944745,-4.82830114907077,1.37702743439849e-06,5.5034163925551e-06
YOR124C,419.146319946889,-2.03987815490156,0.422784422770101,-4.82486592466249,1.40097479474109e-06,5.5953100964353e-06
YDR459C,203.474170758834,2.11650226123364,0.438815871773119,4.82321264424987,1.41264227697159e-06,5.63806784879813e-06
YMR251W,145.248340185449,-2.64117873365584,0.547679618427649,-4.82248863165382,1.41778112566427e-06,5.65472839440108e-06
YFR033C,1594.32331855622,-1.83950256385595,0.381830807074212,-4.81758551110944,1.45305824721153e-06,5.79148912535771e-06
YGL005C,578.948178530696,-2.06728834610211,0.429128740526073,-4.81740827605207,1.45434909945601e-06,5.79269617534687e-06
YMR165C,309.044814383678,-2.52319065440454,0.524000018230658,-4.81524917293775,1.47016325147045e-06,5.85170885497031e-06
YDR530C,345.6101018122,-2.09528815744668,0.435980709209281,-4.80591942071661,1.54041936481368e-06,6.12719045854993e-06
YOL129W,764.381344508258,-1.94779926409687,0.405313030416714,-4.80566652913745,1.54236794652867e-06,6.13078187830345e-06
YML014W,198.761427945184,2.15950614900516,0.449858770526052,4.80040912946945,1.58341811630258e-06,6.28968862864637e-06
YPR074C,2489.35729203331,3.30715022327899,0.689140585375566,4.79894856501111,1.59500745528239e-06,6.32715068357284e-06
YGR214W,4338.56605959262,2.16627309132518,0.451404917353148,4.7989576720327,1.59493494057453e-06,6.32715068357284e-06
YBL075C,4727.8416568999,-3.78099408791719,0.788145996110975,-4.7973270264318,1.6079696095763e-06,6.37425680929402e-06
YNR015W,363.555211100936,1.98523153353979,0.414187539841303,4.79307401256068,1.64244996135488e-06,6.5065433266376e-06
YCR102C,79.2579237106697,-3.37751251352168,0.704789139341174,-4.79223121496867,1.6493666135327e-06,6.52953170502514e-06
YCR092C,131.472841912685,2.25074420021914,0.469971595044616,4.78910688209884,1.67525239773769e-06,6.62753360859383e-06
YKR091W,134.944937441378,-2.70923736162623,0.566197538155686,-4.7849684589785,1.71014185995268e-06,6.76099914019053e-06
YKR036C,161.843745736197,2.31161853415177,0.483432895983409,4.78167405105816,1.73841393151872e-06,6.86814075505003e-06
YML079W,392.532520757733,-2.03368086467719,0.425341353615308,-4.78129118504785,1.74172861166418e-06,6.87660259271858e-06
YGR063C,159.499830451276,2.29230279550776,0.479626708895794,4.77934767391321,1.75864853665378e-06,6.93418647636228e-06
YCR030C,466.64440492493,-2.00504220188154,0.419522454196725,-4.77934418485576,1.75867905344546e-06,6.93418647636228e-06
YJR039W,164.692913588565,-2.65591545624863,0.555833294355639,-4.77825902697598,1.76819504181395e-06,6.96702118962042e-06
YPL243W,744.67580016203,2.01874489092324,0.423019889474694,4.77222216059419,1.82204362078725e-06,7.17437323618243e-06
YMR008C-A,68.7276336014186,-3.29450600803503,0.690738180454953,-4.7695438029285,1.84643591550835e-06,7.26553944471508e-06
YLR243W,341.661079453229,2.00797394989574,0.421100534512001,4.76839563317752,1.85698831704115e-06,7.30216130302633e-06
YNL209W,12262.2447136671,2.12358694795229,0.445380865430213,4.76802465660715,1.8604101931347e-06,7.31071378173509e-06
YLL039C,2396.52661061962,-1.96434033560046,0.412097115490142,-4.76669275703157,1.87274558437206e-06,7.35425811197148e-06
YBR055C,228.728840987943,2.126975200286,0.447376888302626,4.75432516944689,1.99110354667682e-06,7.81381532407375e-06
YDR122W,258.143731879843,-2.15544373972635,0.45363260566489,-4.75151854785022,2.01894635420704e-06,7.91778091954239e-06
YBR128C,98.7193747386021,-2.88538396213725,0.607419995598849,-4.750228808804,2.03186614434237e-06,7.96312246275354e-06
YKL004W,730.779015026409,2.10571850503183,0.443479328261894,4.74817735763394,2.05258005429006e-06,8.03892909706253e-06
YDR377W,1197.09466467685,-2.09276156417317,0.441384891743736,-4.74135296272941,2.12295704805238e-06,8.30901012865896e-06
YGR117C,194.402856292546,2.10207588975306,0.443984877098572,4.73456641922145,2.19523875666052e-06,8.58618067398309e-06
YLR404W,41.8179141165223,3.57016194198773,0.754321058115428,4.73294746789558,2.21282773988477e-06,8.64920602596294e-06
YKL105C,185.078471345487,-2.18313143875191,0.461496020291084,-4.73055312020876,2.23908925913029e-06,8.74602286894131e-06
YJR025C,118.357581317031,-2.47856264594361,0.524913676970788,-4.72184809557085,2.33711213551255e-06,9.12282852896809e-06
YOR227W,502.980064944052,-2.28690223830677,0.484729299072164,-4.71789562274079,2.38296690823331e-06,9.29563205786555e-06
YJL158C,735.997395993932,-3.04784057199068,0.646086729240006,-4.71738612488739,2.38894034293336e-06,9.31273752035789e-06
YOR114W,73.2115156510644,-2.94816292032274,0.625710646081567,-4.71170330692826,2.45654852810974e-06,9.56992958159961e-06
YBL072C,3354.99442679579,1.78688623551957,0.37932304920272,4.71072411569856,2.46838190881896e-06,9.60964351354951e-06
YDL097C,1401.6640210495,-1.87281016512354,0.398000661017056,-4.70554536351206,2.531881954913e-06,9.85031446692429e-06
YPL184C,176.254501955006,2.091629057789,0.444737592098884,4.7030633230661,2.56286889829318e-06,9.96341746469913e-06
YKL094W,1871.28715359374,-2.16139782383055,0.459583881140592,-4.70294523486421,2.56435220096043e-06,9.96341746469913e-06
YPL045W,187.345480785789,2.12982260386443,0.453250194307451,4.69899986941808,2.61438621260302e-06,1.01510903076103e-05
YNL264C,129.858248693071,2.2546338228161,0.479999037703931,4.69716321432875,2.63799651386755e-06,1.02359851494411e-05
YFR030W,360.312221994138,1.99322098589501,0.424504288495664,4.69540836197081,2.66074631790935e-06,1.03174309933218e-05
YBR070C,77.5941584983635,-3.31150150667543,0.705673431610773,-4.69268270326769,2.69645536619624e-06,1.04489873179171e-05
YMR133W,151.947566258713,-2.40169949163918,0.512028891968505,-4.69055463336415,2.7246546258996e-06,1.05512880261885e-05
YGR020C,618.966873795889,2.18480880694368,0.465966429785347,4.68876869080491,2.74853853715706e-06,1.0636753427955e-05
YKL209C,123.604365112296,-2.69364525108485,0.57508507226974,-4.6839074442562,2.81457139737731e-06,1.08851135242897e-05
YEL055C,510.644550245009,2.02072327300659,0.431692750749186,4.6809293635339,2.85577332010802e-06,1.10299070986781e-05
YKL150W,2847.90668629006,-1.94857937781455,0.416273559202594,-4.68100683970226,2.85469413834032e-06,1.10299070986781e-05
YJL111W,1263.38994072648,1.87977753690163,0.401754007798684,4.67892665763666,2.88380565947257e-06,1.11308443591097e-05
YPR046W,45.2286632864002,3.37290181340845,0.720962878422565,4.6783293763865,2.89221692788312e-06,1.11504119712507e-05
YLR231C,144.30812219768,-2.5108648815817,0.536704934900404,-4.67829661757747,2.89267893710938e-06,1.11504119712507e-05
YDR333C,455.019123338268,2.04655958797641,0.43748557747953,4.67800470078849,2.89679907238992e-06,1.11589572676886e-05
YPL171C,150.129472738376,-2.83928512967783,0.607053193377076,-4.67716035539276,2.90874794630098e-06,1.11976291590037e-05
YLL015W,462.40791644263,-2.27076555314316,0.485634270644936,-4.67587583991451,2.92701668751178e-06,1.12605635425732e-05
YKR061W,227.13891870493,2.03478433608276,0.435592055435207,4.67130727177697,2.99288833763942e-06,1.15064290646426e-05
YER149C,104.248149929568,2.3572974500279,0.504685625755649,4.67082343884551,2.99994715847293e-06,1.15260092989035e-05
YKR069W,139.466219709969,2.16901540765969,0.464423399815843,4.67034048783882,3.00700903916875e-06,1.15455756363107e-05
